"% stockId","stack #","feedrate","Head #","height","rotation offset"," X offset"," Y offset","Speed (10 - 150%)"
266,1,4,1,0.5,-90,0,0,
2,2,,1,,-90,0,0,
4,3,,1,,-90,,,
61,4,,1,,-90,,,
64,5,,1,,-90,,,
,6,,1,,-90,,,
,7,,1,,-90,,,
,8,,1,,-90,,,
329,10,,1,,-90,,,
330,11,,1,,-90,,,
302,12,,1,,-90,,,
332,13,,1,,-90,,,
331,14,,1,,-90,,,
58,15,,1,,-90,,,
333,16,,1,,-90,,,
369,17,,1,,-90,,,
370,18,,1,,-90,,,
57,19,,1,,-90,,,
206,20,,1,,-90,,,
362,21,,1,,-180,,,
363,0,18,1,,0,,,10
364,0,18,1,,0,,,10
365,0,18,1,,-90,,,10
366,22,,1,,-90,,,
,23,,1,,-90,,,
,24,,1,,-90,,,
,25,,1,,-90,,,
,26,,1,,-90,,,
,27,,1,,-90,,,
